Plot,X,Y,Elevation,Temp_annual,Temp_jan,Temp_july,Precipitation,pH,C_N,Acer campestre
Agt01,166055,2368150,200,10.1,4.5,16.4,1092,4.5,15,0
Agt02,172620,2374050,195,10.0,4.4,16.2,1034,4.4,27,0
Agt04,134495,2384395,75,10.4,5.3,16.3,1164,5.3,10,1
Agt05,162000,2391800,135,10.0,4.7,16.0,1082,5.1,13,1
Agt06,158250,2393155,110,10.0,4.9,16.0,1080,3.9,,0
Agt07,134495,2384395,110,10.4,5.3,16.3,1164,3.8,16,0
Agt08,167980,2386895,130,9.8,4.6,15.9,909,3.8,16,0
Agt09,173855,2372640,220,10.0,4.4,16.3,1045,3.9,14,0
Agt10,173855,2372640,220,10.0,4.4,16.3,1045,4.0,18,0
Agt12,174155,2388065,250,9.9,4.4,16.0,985,4.1,20,0
Agt14,168910,2370000,285,10.1,4.3,16.4,1128,3.7,24,0
Agt15,179030,2373450,230,10.1,4.6,16.3,1012,4.7,16,0
Agt17,147000,2389000,125,10.1,4.9,16.4,1331,3.9,16,0
Agt18,176110,2389900,240,10.0,4.4,16.2,1069,6.0,,0
Agt19,136555,2390000,295,10.3,4.7,16.6,1471,4.4,22,0
Agt20,164400,2398380,225,10.1,4.8,16.3,1147,4.9,,0
Agt21,150455,2395955,220,10.3,4.9,16.4,1319,4.9,15,0
Agt22,175970,2393265,265,10.0,4.4,16.2,1075,4.7,12,0
Agt23,172410,2368850,265,10.1,4.5,16.4,1096,4.0,24,0
Agt24,176465,2386415,270,9.9,4.3,16.2,1032,5.2,14,0
Agt25,176465,2386415,260,9.9,4.3,16.2,1032,4.3,11,0
Agt28,147000,2389000,220,10.1,4.9,16.4,1331,4.8,11,0
Als004,999100,2412100,135,10.0,1.0,18.9,708,4.5,,0
Als005,1000483,2438077,125,10.1,1.0,19.0,781,6.0,10,0
Als006,979632,2333239,213,10.2,1.0,19.2,641,4.9,13,0
Als007,979632,2333239,213,10.2,1.0,19.2,641,5.0,12,0
Als008,968508,2356697,300,9.9,0.7,18.9,513,7.2,20,1
Als014,988994,2366852,175,10.3,0.9,19.8,641,8.0,10,1
Als015,1000394,2396120,149,9.5,0.4,18.5,904,7.8,8,1
Als017,1000394,2396120,149,9.5,0.4,18.5,904,7.8,8,1
Als019,1014713,2447618,132,10.1,0.8,19.2,799,4.8,12,0
Als020,1010342,2463369,142,9.5,0.5,18.5,841,5.9,11,0
Als021,1014713,2447618,135,10.1,0.8,19.2,799,4.6,12,0
Als022,979291,2374740,169,10.3,0.7,19.9,539,7.8,10,1
Als024,987822,2378411,164,10.1,0.6,19.7,663,6.0,10,0
Als025,991385,2384168,160,10.0,0.5,19.4,699,7.3,9,0
Als026,988593,2366826,175,10.3,0.9,19.8,641,7.9,11,0
Als035,967055,2353096,340,9.5,0.6,18.4,624,4.3,27,0
Als036,965500,2377870,560,8.5,-0.5,17.3,999,4.7,14,0
Als044,964438,2343305,530,9.3,0.5,18.1,834,7.3,13,1
Als047,967966,2378025,460,8.6,-0.4,17.5,935,4.4,21,0
Als049,987344,2457956,430,9.1,0.3,17.8,945,4.4,22,0
Als050,983590,2463726,400,9.3,0.4,18.0,882,3.5,11,0
Als052,1002857,2446775,147,10.1,0.9,19.3,805,5.1,22,0
Als053,976154,2410650,270,9.9,0.9,19.0,633,6.2,13,1
Als054,964832,2340221,400,9.6,0.6,18.5,747,4.5,14,0
Als055,964174,2339980,305,9.6,0.6,18.4,785,5.1,12,0
Als056,968375,2376847,480,8.8,-0.3,17.8,892,5.7,18,1
Als064,980696,2458615,245,9.2,0.4,18.0,869,4.2,9,0
Als066,996247,2451436,210,9.8,0.7,18.8,857,6.7,11,1
Als067,992635,2377530,163,10.1,0.5,19.6,758,6.4,10,1
Als068,1008258,2453682,170,10.0,0.7,19.0,816,4.3,13,0
Als075,969268,2413217,500,8.8,0.2,17.5,1044,4.3,22,0
Als078,983590,2463726,250,9.3,0.4,18.0,882,3.6,14,0
Als079,983738,2460524,240,9.3,0.4,18.1,861,3.6,24,0
Als080,998358,2440038,145,10.0,1.0,19.0,787,3.0,29,0
Als081,998358,2440038,165,10.0,1.0,19.0,787,3.7,24,0
Als082,1002857,2446775,140,10.1,0.9,19.3,805,3.6,24,0
Als085,983590,2463726,310,9.3,0.4,18.0,882,4.2,16,0
Als086,969401,2427773,190,9.5,0.5,18.4,802,4.3,19,0
Als087,968927,2456843,390,8.8,0.2,17.3,931,4.6,15,0
Als088,969352,2343312,520,9.8,0.7,18.7,638,7.6,17,1
Als090,965670,2402756,460,9.1,0.4,17.8,961,4.4,18,0
Als091,970294,2280907,540,8.3,-0.5,17.0,1165,4.0,16,0
Als092,969268,2413217,550,8.8,0.2,17.5,1044,4.2,23,0
Als095,987344,2457956,420,9.1,0.3,17.8,945,4.5,21,0
Als101,967091,2379173,610,8.4,-0.5,17.3,990,3.7,47,0
Als102,967071,2377367,780,8.7,-0.3,17.7,919,4.2,16,0
Als104,965960,2340492,570,9.7,0.7,18.6,720,6.1,12,0
Als106,980771,2406237,840,9.9,0.8,18.9,572,3.9,11,0
Als107,968375,2376847,820,8.8,-0.3,17.8,892,4.4,13,0
Als108,967117,2380880,750,8.6,-0.4,17.6,916,3.8,21,0
Als110,969268,2413217,650,8.8,0.2,17.5,1044,4.4,20,0
Als111,956879,2382049,700,8.1,-0.6,16.7,1243,3.7,21,0
Als118,980674,2446971,1000,9.4,0.5,18.2,839,3.6,17,0
Als119,953703,2334927,1170,6.9,-0.9,15.1,1718,5.0,20,0
Als121,947977,2349623,1040,6.6,-1.2,14.8,1951,4.0,17,0
Als124,938398,2351367,670,7.8,-0.5,16.4,1708,4.3,18,0
AMe21,679845,2509283,197,9.0,2.0,15.9,805,5.0,12,0
AMe38,703315,2498755,92,9.7,2.3,17.5,747,4.3,14,0
AMe40,655078,2514322,180,9.4,2.3,16.7,731,3.4,31,0
AMe41,676540,2506682,201,8.9,2.0,15.7,793,4.0,26,0
AMe50,687722,2505914,165,10.1,2.6,17.7,695,7.9,11,0
AMe56,713230,2503852,110,9.8,2.3,17.6,727,8.7,12,0
AMJ01,911950,2278750,460,9.2,0.3,18.4,1138,3.9,18,0
AMJ02,874430,2255350,310,10.2,1.6,19.0,1090,4.1,,0
AMJ03,911275,2279380,430,9.1,0.3,18.3,1142,3.9,17,0
AMJ04,880460,2260700,350,9.9,1.3,18.6,1137,4.5,17,0
AMJ05,854750,2251257,303,10.0,1.3,18.6,971,4.7,15,0
AMJ06,899650,2269875,350,9.4,0.8,18.3,1137,4.4,17,0
AMJ07,916375,2278225,240,9.4,0.3,18.6,1109,4.5,15,0
AMJ08,907460,2282260,436,9.3,0.5,18.3,1116,5.1,13,0
AMJ09,854420,2251575,265,9.9,1.2,18.5,964,5.2,14,0
AMJ10,916600,2278475,347,9.4,0.3,18.6,1107,4.9,13,0
AMJ11,879080,2260110,350,9.9,1.4,18.7,1129,5.3,12,1
AMJ12,899100,2275680,432,9.6,0.9,18.5,1107,5.3,12,0
AMJ13,864740,2247690,253,10.1,1.4,18.9,1035,5.3,13,0
AMJ14,905460,2280740,407,9.5,0.6,18.4,1102,4.7,12,0
AMJ15,869725,2258050,226,10.3,1.6,19.1,1016,5.0,15,1
AMJ16,925260,2291925,510,8.9,0.2,17.7,1147,5.1,13,1
AMJ18,880750,2260700,350,9.9,1.3,18.7,1132,5.5,12,1
AMJ19,925525,2291975,510,9.0,0.2,17.8,1135,5.3,12,1
AMJ20,907490,2282230,438,9.3,0.5,18.3,1116,6.5,12,1
AMJ21,898875,2275675,422,9.6,0.9,18.5,1107,6.5,13,1
AMJ22,907550,2283910,440,9.4,0.5,18.4,1106,6.6,11,1
AMJ23,853950,2253170,345,9.9,1.3,18.5,954,7.7,14,1
AMJ24,944725,2283400,500,8.8,0.1,17.7,1183,7.7,16,1
AMJ25,894875,2265230,410,9.5,0.9,18.3,1153,7.5,12,1
AMJ26,881775,2264225,555,9.6,1.2,18.4,1141,6.1,13,1
AMJ27,944900,2283350,510,8.8,0.1,17.7,1183,7.1,15,1
AMJ28,881125,2264025,580,9.8,1.2,18.5,1133,5.1,14,1
AMJ30,944800,2283140,490,8.8,0.1,17.7,1183,7.0,12,0
AMJ31,925725,2292025,470,9.0,0.2,17.8,1135,7.7,13,1
AMJ32,894950,2265750,350,9.6,1.0,18.4,1138,5.7,11,1
AMJ34,894900,2265700,375,9.6,1.0,18.4,1138,6.9,12,1
AMJ36,906450,2287925,275,9.8,0.9,18.8,1044,4.8,17,0
AMJ37,906400,2287500,300,9.6,0.8,18.8,1052,5.3,15,0
AMJ38,905750,2287550,295,9.8,0.9,18.8,1044,5.9,14,1
AMJ40,906375,2286725,310,9.6,0.8,18.8,1052,6.3,11,1
AMJ41,864800,2248050,265,10.1,1.4,18.9,1035,6.1,16,1
AMJ42,880925,2264075,470,9.8,1.2,18.5,1133,5.6,12,1
AMo02,759200,2220400,515,9.4,1.1,17.8,935,5.4,13,0
AMo08,759100,2221000,510,9.5,1.2,18.0,903,3.9,19,0
AMo15,753500,2219500,430,9.8,1.5,18.5,919,4.7,13,0
APr01,776263,2549493,455,8.4,0.9,15.6,1184,3.4,16,0
APr02,777763,2547989,320,9.0,1.3,16.5,1069,4.1,13,0
APr03,797268,2531989,425,8.6,1.0,16.5,1179,3.6,22,0
APr04,751223,2546770,345,8.3,0.6,16.1,1166,4.5,8,0
APr05,771240,2537733,290,9.3,1.2,17.4,1047,4.3,13,0
APr06,762449,2554468,380,8.6,1.0,16.5,1176,3.3,26,0
APr07,797264,2529585,350,8.8,1.1,16.7,1131,4.1,18,0
APr08,779286,2563260,340,9.3,1.9,16.9,1001,3.4,17,0
APr09,773681,2565772,225,9.6,2.2,17.5,964,3.7,26,0
APr10,769441,2540239,330,9.0,1.0,16.9,1127,3.4,17,0
APr11,797265,2530386,380,8.8,1.1,16.7,1131,3.4,15,0
APr12,755225,2543761,335,8.5,0.6,16.4,1173,3.7,18,0
APr13,799770,2531384,405,8.7,1.0,16.5,1162,3.4,13,0
APr14,776255,2543234,175,9.6,1.5,17.5,962,4.5,11,1
APr15,774243,2536227,150,9.6,1.5,17.9,948,3.8,13,0
APr16,780299,2571272,150,10.1,2.8,18.2,863,6.9,5,0
APr17,781100,2570669,200,10.0,2.7,18.0,879,3.5,16,0
APr18,778064,2547938,260,9.0,1.3,16.5,1069,3.2,22,0
APr19,778064,2548089,325,9.0,1.3,16.5,1069,3.0,22,0
APr21,777265,2549992,315,8.2,0.9,15.3,1212,3.8,21,0
APr22,778255,2541228,320,9.1,1.3,17.0,1026,3.3,18,0
APr24,799770,2531184,365,8.7,1.0,16.5,1162,5.0,11,0
Arg01,793249,2453863,160,9.8,2.0,17.9,850,5.7,15,0
Arg02,797162,2461263,190,9.6,1.9,17.5,971,6.2,13,1
Arg03,793324,2453888,160,9.8,2.0,17.9,850,6.5,13,1
Arg04,809055,2466299,315,9.3,1.6,17.2,1080,4.6,11,0
Arg05,794786,2461616,170,9.6,1.9,17.6,927,4.9,19,0
Arg06,795130,2440100,165,9.9,2.0,18.0,887,4.2,12,0
Arg07,802138,2475192,225,9.5,1.8,17.4,979,7.2,13,1
Arg08,803105,2469861,225,9.5,1.8,17.4,1011,5.1,10,1
Arg09,796831,2440223,180,9.9,2.0,18.0,907,5.3,17,1
Arg10,790410,2463424,225,9.7,1.9,17.8,840,5.0,14,0
Arg11,802439,2476168,240,9.5,1.7,17.3,981,5.7,15,1
Arg12,794791,2464744,260,9.6,1.9,17.6,923,5.5,16,1
Arg13,794700,2454161,245,9.7,1.9,17.8,900,5.3,14,0
Arg14,796531,2440098,180,9.9,2.0,18.0,907,4.3,18,0
Arg15,796381,2440173,175,9.9,2.0,18.0,897,4.8,14,1
Arg16,794445,2485138,200,9.5,1.7,17.4,916,4.2,14,0
Arg17,793323,2453612,210,9.8,2.0,17.9,850,4.7,16,0
Arg18,793273,2453662,210,9.8,2.0,17.9,850,4.1,33,0
Arg19,793324,2453813,190,9.8,2.0,17.9,850,4.4,27,0
Arg20,793323,2453537,200,9.8,2.0,17.9,850,3.6,23,0
Arg21,787575,2475939,185,9.7,1.9,17.7,842,4.1,20,0
Arg22,789008,2463026,170,9.7,1.9,17.8,824,4.9,13,0
Arg23,793324,2453988,175,9.8,2.0,17.9,850,4.7,15,0
Arg26,799129,2438093,200,9.9,1.9,17.9,940,4.3,18,0
Asp04,637766,1725563,200,14.8,7.7,23.1,714,6.2,,0
Asp07,625853,1738534,250,14.4,7.1,23.1,665,6.2,,0
Asp08,631104,1723523,360,14.0,7.0,21.8,825,6.4,,0
Asp09,628830,1734538,400,13.9,6.7,22.7,725,6.0,,0
Asp10,631094,1725527,410,13.6,6.5,21.6,827,5.2,,0
Asp11,634060,1725542,300,14.3,7.1,22.4,775,5.9,,0
Asp12,625881,1731518,630,13.0,5.8,21.6,774,5.3,,0
Asp14,622901,1736519,390,13.7,6.7,22.2,689,6.8,,0
Asp16,623677,1726498,600,12.4,5.5,20.6,884,4.6,,0
Asp18,619218,1730493,1175,11.3,4.8,19.7,908,5.0,12,0
Ast01,430865,1844200,230,12.3,5.2,20.5,800,4.5,18,0
Ast02,436335,1849580,220,12.4,5.3,20.3,795,4.5,16,0
Ast03,436335,1849580,225,12.4,5.3,20.3,795,5.6,13,1
Ast08,442480,1817050,230,12.6,5.5,20.4,888,6.5,12,1
Ast09,453285,1815675,255,12.4,5.3,20.3,885,6.3,11,1
Ast10,454880,1817395,250,12.4,5.3,20.4,873,8.0,12,1
Ast14,430865,1844200,250,12.3,5.2,20.5,800,4.9,15,0
Ast15,435000,1841250,240,12.4,5.3,20.4,822,4.5,18,0
Ast18,454880,1817395,275,12.4,5.3,20.4,873,5.1,14,1
Ast19,454880,1817395,280,12.4,5.3,20.4,873,6.7,15,1
Ast20,454880,1817395,290,12.4,5.3,20.4,873,7.6,12,0
Aug02,456475,2456674,,9.9,3.4,17.0,772,6.7,14,1
Aug03,445004,2485926,,10.0,3.9,16.5,895,5.7,15,0
Aug04,449367,2431763,,9.6,3.0,16.9,841,7.3,13,1
Aug05,448013,2444348,,9.8,3.2,16.9,837,6.6,12,1
Aug06,454469,2466136,,9.9,3.5,16.8,832,6.7,13,1
Aug07,456475,2456674,,9.9,3.4,17.0,772,4.7,15,1
Aug08,442895,2434999,,9.7,3.2,16.9,785,5.0,15,1
Aug09,445265,2426336,,9.5,2.9,16.7,824,5.5,11,0
Aug10,445004,2485926,,10.0,3.9,16.5,895,4.5,18,0
Aug11,452515,2472551,,10.0,3.8,16.8,848,4.6,14,0
Aug12,435320,2465623,,10.0,3.9,16.5,796,4.1,15,0
Aug13,443703,2456623,,10.0,3.6,16.9,879,4.1,19,0
Aug14,453490,2493534,,10.8,4.4,18.0,752,4.5,15,0
Aug15,459840,2470559,,10.0,3.6,16.9,814,4.5,25,0
Aug16,448673,2451057,,9.8,3.3,16.8,874,4.0,14,0
Aug17,451944,2422733,,9.5,2.7,16.8,852,3.9,20,0
Aug18,456921,2450625,,9.9,3.3,17.2,752,3.7,28,0
Avn04,725507,2559884,208,9.2,1.6,17.0,933,5.7,14,0
Avn06,728507,2557785,223,9.1,1.6,16.9,933,4.4,11,0
Avn07,701320,2594129,95,9.7,2.8,17.4,792,7.6,12,0
Avn09,700388,2594112,95,9.8,2.8,17.5,775,7.4,13,0
Avn11,730113,2565963,230,9.6,1.9,17.7,864,6.6,10,0
Avn12,734434,2566033,189,9.6,1.9,17.8,851,5.0,13,0
Avn13,704167,2592355,110,9.6,2.7,17.4,830,6.3,11,0
Avn14,727493,2580483,200,9.6,2.0,17.7,881,5.3,12,0
Avn15,704206,2592386,120,9.6,2.7,17.4,830,6.4,12,0
Avn16,704078,2592879,115,9.6,2.7,17.4,832,6.1,11,0
Avn17,730157,2570947,200,9.6,2.0,17.9,851,3.9,14,0
Avn18,719200,2573336,200,9.5,2.0,17.4,889,5.1,10,0
Avn19,719945,2585023,155,9.8,2.3,17.8,852,3.9,13,0
Avn20,709359,2582268,130,9.7,2.5,17.6,825,4.2,14,0
Avn21,718620,2577286,200,9.5,2.1,17.3,898,4.1,12,0
Avn22,725536,2567561,195,9.6,1.9,17.7,874,4.2,12,0
Avn23,729047,2581169,220,9.6,2.2,17.5,866,4.1,13,0
Avn24,723223,2561288,220,9.5,1.7,17.4,895,4.0,13,0
Avn25,693705,2569448,140,9.6,2.1,17.5,778,4.0,12,0
Avn26,729890,2581622,190,9.6,2.2,17.7,854,3.7,15,0
Avn27,694587,2578502,145,9.5,2.3,17.1,800,4.0,13,0
Avn28,731742,2567858,190,9.6,2.0,17.8,851,4.3,12,0
Avn29,728375,2571433,220,9.5,1.9,17.3,863,4.1,14,0
Avn30,700044,2580082,100,9.6,2.3,17.6,835,4.0,12,0
Avn31,693340,2577026,160,9.5,2.3,17.3,790,4.1,13,0
Avn32,725765,2578649,190,9.5,2.1,17.5,883,4.0,14,0
Avn33,725258,2555855,230,9.1,1.6,16.9,939,3.8,14,0
Avn34,728410,2571650,210,9.5,2.0,17.4,863,3.8,15,0
Avn35,729832,2571249,180,9.6,2.0,17.9,851,4.0,14,0
Avn36,727578,2568845,190,9.6,1.9,17.8,860,3.9,18,0
Avn37,722811,2567377,235,9.4,1.8,17.2,889,3.6,17,0
Avn38,723738,2580461,180,9.6,2.1,17.5,879,3.8,17,0
Avn39,729028,2581106,215,9.6,2.2,17.5,866,3.8,13,0
Avn40,730486,2588478,180,9.9,2.5,18.0,799,3.7,18,0
Avn41,728572,2581096,215,9.6,2.2,17.5,866,3.6,17,0
Avn42,727347,2573762,230,9.5,1.9,17.5,900,3.9,13,0
Avn43,697395,2578147,155,9.4,2.3,17.0,809,3.7,16,0
Avn44,719907,2563507,190,9.6,1.8,17.5,876,3.9,16,0
Avn45,695714,2580038,140,9.5,2.3,17.0,805,3.8,13,0
Avn46,701283,2577442,165,9.5,2.3,17.2,818,4.5,16,0
Avn47,725617,2567501,215,9.6,1.9,17.7,874,3.7,17,0
BaD07,792700,2049500,210,11.9,3.3,21.2,770,5.4,13,1
BaD08,830200,2036700,620,9.9,1.5,18.7,1089,4.1,18,0
BaD10,830100,2036900,610,9.9,1.5,18.7,1089,4.4,16,0
BaD11,812100,2057200,350,10.6,2.2,19.3,913,4.9,19,0
BaD13,816800,2056400,455,10.1,1.8,19.0,932,4.7,19,0
BaD15,810200,2033100,405,11.1,2.6,20.4,962,5.0,18,0
BaD17,887400,2122900,530,9.6,0.9,18.5,1076,5.1,21,0
BaD19,840400,2082900,240,10.9,1.8,20.2,1103,4.4,18,1
BaD20,878500,2096000,630,9.4,0.3,18.7,1197,7.6,14,0
BaD22,840300,2083100,230,10.9,1.8,20.2,1103,5.3,14,1
BaD23,793000,2050200,225,12.0,3.3,21.2,769,5.0,15,1
BaD26,877900,2095400,630,9.4,0.3,18.7,1194,4.8,16,0
BaD28,792500,2049900,250,12.1,3.4,21.3,752,5.7,14,1
BaD29,882100,2094900,350,9.8,0.3,19.1,1168,8.0,12,0
BaD30,887400,2123100,540,9.6,0.9,18.5,1076,6.2,14,1
BaD34,885800,2120800,530,9.7,0.9,18.9,1069,5.4,20,0
BaD35,885600,2111000,650,9.3,0.5,18.4,1217,4.7,21,0
BaD36,885400,2110900,640,9.3,0.5,18.4,1216,4.6,14,0
BaS01,488193,2502302,,10.4,3.5,17.8,780,7.1,11,1
BaS02,480469,2507641,,10.1,3.4,17.1,893,5.9,12,1
BaS03,480858,2475678,,10.4,3.8,17.5,701,4.9,13,1
BaS04,481244,2491884,,10.2,3.6,17.5,758,5.2,11,0
BaS05,511959,2472469,,10.5,3.5,17.9,752,3.9,17,0
BaS06,495868,2480675,,10.1,3.5,17.3,762,3.9,16,0
BaS07,480389,2496769,,10.6,3.8,18.2,703,3.9,17,0
BaS08,487259,2493351,,10.4,3.6,17.8,737,4.2,20,0
BaS09,491469,2499301,,10.6,3.5,18.0,753,3.9,24,0
BaS10,501372,2482511,,10.7,3.7,18.2,705,3.5,23,0
BaS11,487440,2492791,,10.4,3.6,17.8,737,3.5,42,0
BaS12,493744,2483236,,10.1,3.5,17.3,759,3.7,32,0
BaS13,511486,2477233,,10.7,3.7,18.4,694,3.5,15,0
BaS14,482548,2500265,,10.8,3.8,18.4,703,3.6,21,0
BaS15,480638,2475337,,10.4,3.8,17.5,706,3.1,47,0
BBT01,633125,2160375,260,10.6,3.0,19.2,759,5.0,,0
BBT02,667500,2165125,310,10.4,2.5,18.9,766,4.7,,1
BBT03,625437,2177312,300,10.3,2.7,18.7,789,4.3,,0
BBT04,630562,2182937,265,10.4,2.7,18.9,806,4.0,,0
BBT05,626125,2173812,280,10.3,2.7,18.8,763,4.3,,0
BBT06,625062,2181125,255,10.4,2.8,18.8,781,4.3,,0
BBT08,629562,2185875,255,10.5,2.8,19.0,799,4.2,,0
BBT09,623937,2178625,220,10.4,2.8,18.8,778,4.4,,0
BBT10,656375,2172312,270,10.5,2.6,19.2,824,4.6,,0
BBT11,654500,2171125,310,10.4,2.6,19.2,823,4.5,,0
BBT12,622375,2181125,260,10.6,3.0,19.0,755,4.3,,0
BBT13,667560,2166000,250,10.5,2.6,19.0,762,3.9,,0
BBT14,623625,2182125,285,10.5,2.9,18.9,773,4.8,,0
BBT16,627312,2175500,250,10.1,2.6,18.6,793,4.7,,1
BBT17,638437,2188187,250,10.4,2.8,18.9,843,4.1,,0
BBT18,644312,2180687,250,10.4,2.8,19.0,861,5.7,,0
BCh01,707545,2444102,234,9.7,1.9,17.7,808,3.9,15,0
BCh02,710243,2439377,227,9.8,1.9,17.9,803,4.8,13,0
BCh03,693499,2405351,181,9.7,2.2,17.7,755,5.3,13,0
BCh04,703054,2445757,249,9.6,2.0,17.7,792,4.3,14,0
BCh05,696793,2410291,211,9.6,2.0,17.7,756,4.7,16,0
BCh06,703384,2445486,246,9.6,2.0,17.7,791,3.9,13,0
BCh07,702831,2430017,224,9.6,1.9,17.5,764,5.5,14,0
BCh08,713654,2449561,251,9.6,2.1,17.5,820,5.0,12,0
BCh09,692950,2421899,186,9.6,1.9,17.5,745,5.2,13,0
BCh10,693729,2405601,178,9.6,2.1,17.7,760,5.4,13,0
BCh11,709191,2448964,238,9.4,1.8,17.2,851,4.8,13,0
BCh12,702502,2444306,230,9.6,2.0,17.7,789,4.5,16,0
BCh13,696365,2440538,234,9.7,2.0,17.7,759,6.1,13,0
BCh15,721787,2445721,238,10.2,2.3,18.4,741,4.0,19,0
BCh16,696366,2441219,228,9.7,2.0,17.7,759,4.4,19,0
BCh17,698103,2409220,202,9.7,2.1,17.8,752,4.2,26,0
BCh18,698624,2409910,186,9.8,2.1,17.8,743,4.2,15,0
BCh19,713283,2448320,237,9.7,2.1,17.6,816,4.8,14,0
BCh20,720421,2440319,229,9.9,2.0,18.0,793,4.9,13,0
BCh21,701908,2426616,177,9.6,2.0,17.5,743,4.9,14,0
BCh22,702838,2439052,218,9.7,1.9,17.8,770,6.1,13,1
BCh23,713223,2448080,200,9.7,2.1,17.6,816,4.7,18,1
BCh25,696536,2441919,195,9.8,2.0,17.8,753,7.0,18,1
BCh26,692740,2450728,150,10.1,2.2,18.3,746,6.5,12,1
BCh29,720461,2439988,220,9.9,2.0,18.0,793,8.0,10,1
BCh34,720564,2432073,210,10.2,2.1,18.4,726,8.0,15,0
BCh35,701937,2451792,155,9.9,2.2,18.0,738,7.4,10,1
BCh36,714043,2448100,220,9.8,2.1,17.7,808,8.0,10,1
BCh37,705752,2453480,210,9.9,2.2,18.0,751,8.0,12,1
BCh39,720431,2440188,223,9.9,2.0,18.0,793,4.2,16,0
BCh40,698343,2409370,189,9.7,2.1,17.8,752,4.8,13,0
BCh42,708970,2449065,235,9.4,1.8,17.2,851,5.5,11,0
BCh45,698559,2444459,228,9.8,2.0,17.7,772,4.4,15,0
BCh46,694009,2405681,229,9.6,2.1,17.7,760,4.9,13,0
BCh49,692760,2422480,183,9.6,1.9,17.5,745,5.0,10,0
BCh51,701428,2426396,167,9.6,1.9,17.5,747,7.8,12,1
BCh52,701069,2428147,160,9.6,2.0,17.5,739,6.3,10,1
BCh53,701978,2453013,113,10.1,2.3,18.4,699,7.9,10,1
BCh59,702020,2428677,215,9.6,2.0,17.5,748,5.9,12,0
BCM02,799500,2170875,172,10.7,2.0,19.8,825,6.4,,0
BCM10,837187,2193000,200,10.6,2.1,19.1,1006,4.3,,0
BCM12,836000,2195000,194,10.5,1.9,19.2,987,4.4,,1
BCM16,861000,2223000,300,10.5,1.7,19.4,1154,6.1,6,1
BCM17,861000,2223000,290,10.5,1.7,19.4,1154,4.9,,0
BCM18,861000,2223000,320,10.5,1.7,19.4,1154,3.9,7,0
BCM20,857000,2226000,240,10.5,1.6,19.5,1059,4.3,,0
BCM25,820000,2206000,211,10.3,1.6,19.3,924,3.9,19,0
BCM27,799000,2158250,195,10.8,2.1,19.8,830,3.1,,0
BCM30,799750,2159000,203,10.7,2.1,19.7,832,3.3,,0
BCM31,802500,2173500,176,10.7,2.0,19.7,838,3.8,18,0
BCM32,819125,2214875,180,10.4,1.6,19.4,858,7.5,17,1
BCM34,842625,2193875,260,10.4,1.9,19.0,1119,3.6,27,0
BCM36,819125,2214875,190,10.4,1.6,19.4,858,4.5,20,0
BCM37,841000,2219400,225,10.1,1.5,19.2,992,4.4,13,0
BCM38,801000,2202000,205,10.7,1.6,20.0,791,4.3,9,0
BCM39,806500,2201000,210,10.5,1.6,19.7,850,4.2,16,0
BCM41,810000,2201000,214,10.4,1.5,19.4,888,3.5,,0
BCM42,842625,2193875,265,10.4,1.9,19.0,1119,4.0,22,0
BCM45,801000,2202000,213,10.7,1.6,20.0,791,4.1,,0
BCM46,850125,2222000,248,10.3,1.6,19.3,1043,3.5,18,0
BCM48,830625,2168000,227,10.3,1.8,19.2,1133,3.8,23,0
BCv02,721843,1901917,260,12.6,4.9,21.6,1428,5.0,13,0
BCv06,723364,1897942,450,12.0,4.4,21.0,1482,5.0,23,0
BCv09,735092,1923212,350,12.5,4.9,21.6,1397,5.1,17,0
BCv10,735092,1923212,350,12.5,4.9,21.6,1397,5.3,17,0
BCv11,734673,1909187,230,13.1,5.2,22.2,1246,5.2,22,0
BCv12,734673,1909187,230,13.1,5.2,22.2,1246,5.0,19,0
BCv13,730759,1924122,340,12.5,4.8,21.6,1460,5.5,20,0
BCv14,735551,1935235,710,10.2,2.8,19.2,1637,4.6,21,0
BCv15,735551,1935235,710,10.2,2.8,19.2,1637,4.9,12,0
BCv16,732576,1906139,540,12.5,4.7,21.6,1331,4.7,18,0
BCv17,732576,1906139,540,12.5,4.7,21.6,1331,5.0,14,0
BCv18,732576,1906139,540,12.5,4.7,21.6,1331,4.9,17,0
BCv19,735551,1935235,660,10.2,2.8,19.2,1637,4.9,17,0
BCv21,740841,1923339,200,13.1,5.3,22.2,1179,4.7,16,0
BCv24,734481,1918193,500,12.5,4.8,21.6,1450,4.8,25,0
BCv25,734481,1918193,500,12.5,4.8,21.6,1450,4.9,11,0
BCv26,734081,1903167,340,12.5,4.6,21.6,1264,5.6,29,0
BCv27,734081,1903167,340,12.5,4.6,21.6,1264,5.0,16,0
BCv29,727592,1903032,310,12.7,4.9,21.6,1371,8.0,10,0
BCv30,727592,1903032,310,12.7,4.9,21.6,1371,8.1,11,0
BCv31,730394,1900086,280,12.9,4.9,22.0,1259,8.3,10,0
BCv32,730394,1900086,280,12.9,4.9,22.0,1259,8.1,11,0
BCv34,743842,1917900,380,12.6,4.7,21.7,1150,7.9,16,0
BCv35,743842,1917900,380,12.6,4.7,21.7,1150,8.2,15,0
BCv38,735415,1908202,250,13.0,5.2,22.2,1242,6.3,14,0
BPL01,955371,2446149,258,8.9,0.2,17.4,868,5.0,17,0
BPL02,957757,2449770,300,9.0,0.2,17.5,868,5.4,14,0
